       Time_s           01           02           03           04           05
   6.0500E-07   8.0000E+01   3.0000E+02   1.5206E+04   2.0689E+00   4.1387E+04
   6.1000E-07   8.0000E+01   3.0000E+02   1.5206E+04   2.0824E+00   4.1656E+04
   6.1500E-07   8.0000E+01   3.0000E+02   1.5206E+04   2.0959E+00   4.1927E+04
   6.2000E-07   8.0000E+01   3.0000E+02   1.5206E+04   2.1095E+00   4.2199E+04
   6.2500E-07   8.0000E+01   3.0000E+02   1.5206E+04   2.1232E+00   4.2473E+04
   6.3000E-07   8.0000E+01   3.0000E+02   1.5227E+04   2.1372E+00   4.2753E+04
   6.3500E-07   8.0000E+01   3.0000E+02   1.5227E+04   2.1505E+00   4.3019E+04
   6.4000E-07   8.0000E+01   3.0000E+02   1.5227E+04   2.1642E+00   4.3293E+04
   6.4500E-07   8.0000E+01   3.0000E+02   1.5227E+04   2.1781E+00   4.3570E+04
   6.5000E-07   8.0000E+01   3.0000E+02   1.5227E+04   2.1921E+00   4.3851E+04
   6.5500E-07   8.0000E+01   3.0000E+02   1.5227E+04   2.2063E+00   4.4134E+04
   6.6000E-07   8.0000E+01   3.0000E+02   1.5227E+04   2.2205E+00   4.4419E+04
   6.6500E-07   8.0000E+01   3.0000E+02   1.5227E+04   2.2349E+00   4.4706E+04
   6.7000E-07   8.0000E+01   3.0000E+02   1.5227E+04   2.2493E+00   4.4995E+04
   6.7500E-07   8.0000E+01   3.0000E+02   1.5227E+04   2.2638E+00   4.5286E+04
   6.8000E-07   8.0000E+01   3.0000E+02   1.5227E+04   2.2784E+00   4.5578E+04
   6.8500E-07   8.0000E+01   3.0000E+02   1.5227E+04   2.2931E+00   4.5871E+04
   6.9000E-07   8.0000E+01   3.0000E+02   1.5227E+04   2.3078E+00   4.6167E+04
   6.9500E-07   8.0000E+01   3.0000E+02   1.5249E+04   2.3230E+00   4.6471E+04
   7.0000E-07   8.0000E+01   3.0000E+02   1.5249E+04   2.3374E+00   4.6757E+04
   7.0500E-07   8.0000E+01   3.0000E+02   1.5249E+04   2.3521E+00   4.7052E+04
   7.1000E-07   8.0000E+01   3.0000E+02   1.5249E+04   2.3670E+00   4.7351E+04
   7.1500E-07   8.0000E+01   3.0000E+02   1.5249E+04   2.3821E+00   4.7653E+04
   7.2000E-07   8.0000E+01   3.0000E+02   1.5249E+04   2.3974E+00   4.7959E+04
   7.2500E-07   8.0000E+01   3.0000E+02   1.5249E+04   2.4128E+00   4.8266E+04
   7.3000E-07   8.0000E+01   3.0000E+02   1.5249E+04   2.4283E+00   4.8576E+04
   7.3500E-07   8.0000E+01   3.0000E+02   1.5249E+04   2.4438E+00   4.8887E+04
   7.4000E-07   8.0000E+01   3.0000E+02   1.5249E+04   2.4595E+00   4.9201E+04
   7.4500E-07   8.0000E+01   3.0000E+02   1.5249E+04   2.4752E+00   4.9516E+04
   7.5000E-07   8.0000E+01   3.0000E+02   1.5249E+04   2.4911E+00   4.9832E+04
   7.5500E-07   8.0000E+01   3.0000E+02   1.5270E+04   2.5079E+00   5.0169E+04
   7.6000E-07   8.0000E+01   3.0000E+02   1.5270E+04   2.5230E+00   5.0471E+04
   7.6500E-07   8.0000E+01   3.0000E+02   1.5270E+04   2.5386E+00   5.0784E+04
   7.7000E-07   8.0000E+01   3.0000E+02   1.5270E+04   2.5546E+00   5.1104E+04
   7.7500E-07   8.0000E+01   3.0000E+02   1.5270E+04   2.5708E+00   5.1427E+04
   7.8000E-07   8.0000E+01   3.0000E+02   1.5270E+04   2.5871E+00   5.1754E+04
   7.8500E-07   8.0000E+01   3.0000E+02   1.5270E+04   2.6036E+00   5.2084E+04
   7.9000E-07   8.0000E+01   3.0000E+02   1.5270E+04   2.6201E+00   5.2416E+04
   7.9500E-07   8.0000E+01   3.0000E+02   1.5270E+04   2.6368E+00   5.2750E+04
   8.0000E-07   8.0000E+01   3.0000E+02   1.5270E+04   2.6536E+00   5.3085E+04
   8.0500E-07   8.0000E+01   3.0000E+02   1.5270E+04   2.6705E+00   5.3423E+04
   8.1000E-07   8.0000E+01   3.0000E+02   1.5270E+04   2.6875E+00   5.3763E+04
   8.1500E-07   8.0000E+01   3.0000E+02   1.5292E+04   2.7050E+00   5.4113E+04
   8.2000E-07   8.0000E+01   3.0000E+02   1.5292E+04   2.7214E+00   5.4442E+04
   8.2500E-07   8.0000E+01   3.0000E+02   1.5292E+04   2.7383E+00   5.4781E+04
   8.3000E-07   8.0000E+01   3.0000E+02   1.5292E+04   2.7555E+00   5.5125E+04
   8.3500E-07   8.0000E+01   3.0000E+02   1.5292E+04   2.7729E+00   5.5473E+04
   8.4000E-07   8.0000E+01   3.0000E+02   1.5292E+04   2.7905E+00   5.5824E+04
   8.4500E-07   8.0000E+01   3.0000E+02   1.5292E+04   2.8081E+00   5.6177E+04
   8.5000E-07   8.0000E+01   3.0000E+02   1.5292E+04   2.8259E+00   5.6533E+04
   8.5500E-07   8.0000E+01   3.0000E+02   1.5292E+04   2.8438E+00   5.6891E+04
   8.6000E-07   8.0000E+01   3.0000E+02   1.5292E+04   2.8618E+00   5.7251E+04
   8.6500E-07   8.0000E+01   3.0000E+02   1.5292E+04   2.8799E+00   5.7614E+04
   8.7000E-07   8.0000E+01   3.0000E+02   1.5314E+04   2.8985E+00   5.7986E+04
   8.7500E-07   8.0000E+01   3.0000E+02   1.5314E+04   2.9161E+00   5.8338E+04
   8.8000E-07   8.0000E+01   3.0000E+02   1.5314E+04   2.9341E+00   5.8699E+04
   8.8500E-07   8.0000E+01   3.0000E+02   1.5314E+04   2.9525E+00   5.9065E+04
   8.9000E-07   8.0000E+01   3.0000E+02   1.5314E+04   2.9710E+00   5.9436E+04
   8.9500E-07   8.0000E+01   3.0000E+02   1.5314E+04   2.9897E+00   5.9810E+04
   9.0000E-07   8.0000E+01   3.0000E+02   1.5314E+04   3.0085E+00   6.0187E+04
   9.0500E-07   8.0000E+01   3.0000E+02   1.5314E+04   3.0275E+00   6.0567E+04
   9.1000E-07   8.0000E+01   3.0000E+02   1.5314E+04   3.0466E+00   6.0948E+04
   9.1500E-07   8.0000E+01   3.0000E+02   1.5314E+04   3.0657E+00   6.1332E+04
   9.2000E-07   8.0000E+01   3.0000E+02   1.5336E+04   3.0855E+00   6.1728E+04
   9.2500E-07   8.0000E+01   3.0000E+02   1.5336E+04   3.1041E+00   6.2100E+04
   9.3000E-07   8.0000E+01   3.0000E+02   1.5336E+04   3.1232E+00   6.2483E+04
   9.3500E-07   8.0000E+01   3.0000E+02   1.5336E+04   3.1427E+00   6.2871E+04
   9.4000E-07   8.0000E+01   3.0000E+02   1.5336E+04   3.1623E+00   6.3265E+04
   9.4500E-07   8.0000E+01   3.0000E+02   1.5336E+04   3.1821E+00   6.3661E+04
   9.5000E-07   8.0000E+01   3.0000E+02   1.5336E+04   3.2021E+00   6.4061E+04
   9.5500E-07   8.0000E+01   3.0000E+02   1.5336E+04   3.2222E+00   6.4463E+04
